S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
57,FMDBL,28.83,928.00,928.00,884.00,902.62,889.00,13.62,0.02,903.99,"205,708.00",921.86,"185,958,139.10",454,-19.24,44.00,-2.09,4.98,-0.15,792.65,783.76,"1,038.80",687.00
58,FOWAD,27.75,"1,230.92","1,240.00","1,198.00","1,204.00","1,198.00",6.00,0.01,"1,212.07","5,836.00","1,230.92","7,073,626.00",93,-26.92,42.00,-2.19,3.51,-0.67,"1,176.66","1,226.89","1,698.00","1,059.30"
59,GBBD85,43.61,"1,038.00","1,045.00","1,036.00","1,045.00","1,045.00",0.00,0.00,"1,039.40",75.00,"1,036.00","77,955.00",4,9.00,9.00,0.87,0.87,0.54,"1,051.06","1,045.57","1,110.00",978.10
60,GBBL,26.25,442.00,442.00,422.00,424.28,423.00,1.28,0.00,430.13,"106,897.00",436.35,"45,980,046.20",369,-12.07,20.00,-2.77,4.74,-1.38,405.84,410.76,531.40,378.70
61,GBILD86/87,41.67,"1,027.50","1,027.50","1,025.00","1,025.00","1,025.00",0.00,0.00,"1,026.25",50.00,"1,027.50","51,312.50",2,-2.50,2.50,-0.24,0.24,-0.12,"1,040.36","1,022.25","1,100.00",994.00
62,GBIME,25.77,250.40,261.00,250.40,255.68,257.90,-2.22,-0.01,257.64,"260,511.00",255.42,"67,119,287.50",686,0.26,10.60,0.10,4.23,-0.77,232.43,231.76,302.00,210.70
63,GBLBS,24.19,860.00,860.00,840.00,841.69,840.00,1.69,0.00,848.22,"8,101.00",858.80,"6,871,460.10",100,-17.11,20.00,-1.99,2.38,-0.78,834.55,823.61,987.00,667.10
64,GCIL,25.58,506.00,518.00,505.10,506.80,506.00,0.80,0.00,508.38,"41,701.00",510.96,"21,199,912.60",423,-4.16,12.90,-0.81,2.55,-0.31,521.09,512.11,668.00,465.20
65,GFCL,23.43,697.70,697.70,675.00,676.35,675.00,1.35,0.00,680.12,"13,541.00",684.02,"9,209,488.40",124,-7.67,22.70,-1.12,3.36,-0.56,674.75,730.84,"1,353.00",591.50
66,GHL,26.48,253.70,253.70,245.00,245.50,246.00,-0.50,0.00,247.44,"141,845.00",250.98,"35,098,822.50",396,-5.48,8.70,-2.18,3.55,-0.79,261.45,246.22,318.00,193.50
67,GIBF1,33.26,11.11,11.22,11.11,11.13,11.13,0.00,0.00,11.13,"558,245.00",11.11,"6,212,844.95",56,0.02,0.11,0.18,0.99,0.01,10.36,10.22,11.68,8.84
68,GILB,33.96,"1,412.00","1,441.60","1,338.00","1,357.93","1,379.00",-21.07,-0.02,"1,400.25","19,824.00","1,413.40","27,758,631.20",234,-55.47,103.60,-3.92,7.74,-3.12,"1,286.60","1,275.02","1,485.00","1,118.20"
69,GLBSL,39.29,"2,426.00","2,431.00","2,321.00","2,332.64","2,322.00",10.64,0.00,"2,370.48","4,247.00","2,425.05","10,067,449.70",150,-92.41,110.00,-3.81,4.74,-1.62,"2,639.87","2,554.70","3,486.00","1,560.00"
70,GLH,25.91,276.00,279.50,268.00,268.97,269.00,-0.03,0.00,272.35,"81,595.00",276.32,"22,222,716.40",377,-7.35,11.50,-2.66,4.29,-1.26,263.40,259.74,336.00,223.80
