SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
86,2025-04-03,"2,595.80","2,676.77","2,591.51",(-41.97),(-1.59 %),"3,975.49","1,891.54","248,514,357.30","421,419","3,502"
87,2025-04-02,"2,637.77","2,669.92","2,551.46",(80.00),(3.12 %),"3,975.49","1,891.54","347,502,269.60","597,689","4,249"
88,2025-04-01,"2,557.77","2,630.17","2,543.05",(-48.02),(-1.84 %),"3,975.49","1,891.54","169,799,721.70","303,268","2,558"
89,2025-03-30,"2,605.80","2,633.61","2,540.06",(51.43),(2.01 %),"3,975.49","1,891.54","277,269,642.20","487,156","4,017"
90,2025-03-27,"2,554.36","2,564.08","2,523.41",(32.91),(1.30 %),"3,975.49","1,891.54","169,849,982.30","307,948","2,539"
91,2025-03-26,"2,521.44","2,532.97","2,474.52",(43.40),(1.75 %),"3,975.49","1,891.54","140,481,856.20","257,260","2,443"
92,2025-03-25,"2,478.04","2,571.46","2,475.72",(-90.13),(-3.50 %),"3,975.49","1,891.54","215,721,875.07","390,805","3,723"
93,2025-03-24,"2,568.18","2,594.63","2,461.82",(87.42),(3.52 %),"3,975.49","1,891.54","288,479,160.40","525,659","4,644"
94,2025-03-23,"2,480.76","2,561.88","2,478.54",(-76.46),(-2.98 %),"3,975.49","1,891.54","237,502,471.60","426,705","4,227"
95,2025-03-20,"2,557.22","2,598.24","2,554.12",(-32.83),(-1.26 %),"3,975.49","1,891.54","193,237,544.50","338,885","3,210"
96,2025-03-19,"2,590.05","2,659.79","2,587.58",(-40.33),(-1.53 %),"3,975.49","1,891.54","163,969,729.30","289,893","2,587"
97,2025-03-18,"2,630.39","2,665.80","2,620.33",(-4.58),(-0.17 %),"3,975.49","1,891.54","119,648,104.70","206,130","1,916"
98,2025-03-17,"2,634.97","2,670.36","2,628.00",(3.16),(0.12 %),"3,975.49","1,891.54","166,933,793.40","289,115","2,482"
99,2025-03-16,"2,631.80","2,695.22","2,619.16",(-37.19),(-1.39 %),"3,975.49","1,891.54","297,188,250.60","525,859","3,970"
100,2025-03-12,"2,669.00","2,701.16","2,660.39",(0.55),(0.02 %),"3,975.49","1,887.07","213,717,374.50","360,494","2,984"
101,2025-03-11,"2,668.44","2,740.82","2,664.71",(-42.79),(-1.57 %),"3,975.49","1,887.07","267,872,945.70","449,337","3,525"
102,2025-03-10,"2,711.23","2,774.67","2,702.89",(-19.23),(-0.70 %),"3,975.49","1,845.25","242,442,103.10","399,382","3,436"
103,2025-03-09,"2,730.47","2,799.25","2,726.15",(-52.12),(-1.87 %),"3,975.49","1,819.64","287,827,665.20","468,523","3,919"
104,2025-03-06,"2,782.59","2,820.56","2,774.78",(-6.69),(-0.23 %),"3,975.49","1,814.63","256,997,391.20","415,534","3,565"
105,2025-03-05,"2,789.28","2,851.04","2,772.86",(-44.77),(-1.57 %),"3,975.49","1,784.64","307,794,997.90","500,769","4,098"
106,2025-03-04,"2,834.05","2,913.05","2,827.28",(-60.94),(-2.10 %),"3,975.49","1,784.64","384,595,450.20","608,978","4,767"
107,2025-03-03,"2,895.00","2,988.81","2,885.09",(-27.23),(-0.93 %),"3,975.49","1,729.05","591,466,077.90","911,112","7,130"
108,2025-03-02,"2,922.24","2,922.24","2,821.16",(119.96),(4.28 %),"3,975.49","1,729.05","635,447,903.60","1,017,773","6,975"
109,2025-02-27,"2,802.27","2,856.20","2,788.47",(7.87),(0.28 %),"3,975.49","1,729.05","461,230,429.80","742,807","4,974"
110,2025-02-25,"2,794.40","2,855.12","2,787.38",(-20.12),(-0.71 %),"3,975.49","1,729.05","444,517,376.40","702,940","5,052"
111,2025-02-24,"2,814.53","2,877.89","2,798.17",(-34.57),(-1.21 %),"3,975.49","1,729.05","432,401,130.70","684,834","5,144"
112,2025-02-23,"2,849.11","2,893.85","2,790.92",(-13.02),(-0.45 %),"3,975.49","1,729.05","598,067,371.50","941,063","6,544"
113,2025-02-20,"2,862.13","2,939.68","2,824.24",(-4.11),(-0.14 %),"3,975.49","1,729.05","547,129,303.50","874,438","6,864"
114,2025-02-18,"2,866.25","2,956.52","2,846.40",(-43.74),(-1.50 %),"3,975.49","1,729.05","673,456,352.00","1,045,814","8,530"
115,2025-02-17,"2,909.99","2,999.64","2,894.57",(-23.93),(-0.81 %),"3,975.49","1,729.05","1,110,977,222.72","1,731,696","14,332"
116,2025-02-16,"2,933.92","2,948.23","2,803.04",(138.24),(4.94 %),"3,975.49","1,729.05","1,274,192,708.90","1,996,075","13,746"
