SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
154,2024-12-17,149.31,150.24,148.11,(0.15),(0.10 %),177.64,113.28,"1,212,663,896.50","2,732,602","15,846"
155,2024-12-16,149.16,151.73,148.77,(-2.40),(-1.58 %),177.64,113.28,"1,780,820,814.05","3,957,371","20,224"
156,2024-12-12,151.56,155.17,151.23,(-2.23),(-1.45 %),177.64,113.28,"1,588,904,107.10","3,507,646","18,770"
157,2024-12-11,153.79,153.80,149.90,(3.38),(2.24 %),177.64,113.28,"1,514,673,901.50","3,667,117","17,042"
158,2024-12-10,150.41,151.80,149.94,(-0.42),(-0.27 %),177.64,113.28,"1,632,301,050.40","3,306,292","17,763"
159,2024-12-09,150.83,152.58,150.00,(-0.52),(-0.34 %),177.64,113.28,"1,957,600,463.60","3,674,111","20,969"
160,2024-12-08,151.35,153.71,150.67,(-2.27),(-1.48 %),177.64,113.28,"2,258,795,139.90","4,954,272","24,098"
161,2024-12-05,153.63,155.48,153.26,(-1.71),(-1.10 %),177.64,113.28,"2,349,350,607.64","4,982,720","23,544"
162,2024-12-04,155.35,157.84,155.11,(-0.57),(-0.37 %),177.64,113.28,"2,533,387,505.50","5,430,939","24,424"
163,2024-12-03,155.93,157.85,155.43,(-0.26),(-0.17 %),177.64,113.28,"2,496,410,741.98","5,553,160","24,135"
164,2024-12-02,156.20,158.05,155.79,(-0.51),(-0.32 %),177.64,113.28,"3,687,439,314.50","7,777,258","33,773"
165,2024-12-01,156.71,158.71,155.56,(-1.25),(-0.79 %),177.64,113.28,"3,182,726,545.62","6,721,232","28,041"
166,2024-11-28,157.96,159.59,157.78,(-1.04),(-0.65 %),177.64,113.28,"2,883,031,073.10","6,014,631","27,280"
167,2024-11-27,159.01,159.31,157.89,(1.11),(0.70 %),177.64,113.28,"2,439,250,972.66","4,897,291","23,533"
168,2024-11-26,157.89,158.25,156.28,(1.54),(0.99 %),177.64,113.28,"2,360,579,850.50","4,716,035","22,911"
169,2024-11-25,156.35,157.04,155.12,(0.59),(0.38 %),177.64,113.28,"2,275,232,859.10","4,504,813","22,586"
170,2024-11-24,155.75,157.47,155.37,(-0.55),(-0.35 %),177.64,113.28,"2,617,305,692.50","5,095,331","23,858"
171,2024-11-21,156.30,159.17,156.14,(-1.85),(-1.17 %),177.64,113.28,"2,504,095,910.62","5,328,842","25,274"
172,2024-11-20,158.16,158.34,156.85,(0.19),(0.12 %),177.64,113.28,"2,208,321,552.61","4,684,110","22,267"
173,2024-11-19,157.96,161.01,157.66,(-2.70),(-1.68 %),177.64,113.28,"3,425,420,028.67","6,989,757","32,630"
174,2024-11-17,160.66,162.54,160.34,(0.01),(0.01 %),177.64,113.28,"3,732,007,915.80","7,652,054","32,569"
175,2024-11-14,160.64,161.22,159.57,(0.79),(0.49 %),177.64,113.28,"3,129,829,787.80","6,853,188","28,639"
176,2024-11-13,159.84,162.17,159.68,(-1.72),(-1.06 %),177.64,113.28,"2,309,522,949.40","4,585,437","22,520"
177,2024-11-12,161.57,163.82,161.20,(-0.54),(-0.33 %),177.64,113.28,"2,592,203,330.10","5,483,534","24,403"
178,2024-11-11,162.11,163.43,160.70,(1.33),(0.82 %),177.64,113.28,"4,470,268,667.80","9,670,633","38,970"
179,2024-11-10,160.77,160.77,157.64,(3.09),(1.96 %),177.64,113.28,"3,506,495,792.50","7,294,084","31,032"
180,2024-11-06,157.68,158.38,157.29,(-0.25),(-0.15 %),177.64,113.28,"1,491,944,742.90","3,023,600","15,333"
181,2024-11-05,157.93,159.54,157.63,(-0.42),(-0.26 %),177.64,113.28,"1,509,185,635.70","2,743,075","14,594"
182,2024-10-30,158.36,160.10,157.79,(-0.89),(-0.56 %),177.64,113.28,"2,064,249,185.10","4,187,583","20,258"
183,2024-10-29,159.25,159.42,156.28,(2.90),(1.85 %),177.64,113.28,"2,038,847,427.90","4,415,371","21,012"
184,2024-10-28,156.35,156.66,155.08,(1.11),(0.71 %),177.64,113.28,"1,509,943,057.40","3,375,990","14,986"
185,2024-10-27,155.24,156.92,154.82,(-1.52),(-0.97 %),177.64,113.28,"1,701,871,074.70","3,664,264","18,952"
